B199,2.50
B200,3.30
B201,4.00
B202,4.75
B203,5.50
B204,6.50
B209-blu,0.69
B209-grn,0.69
B209-red,0.69
B209-yel,0.69
B227,1.75
B230,1.17
B231,1.14
B232-blu,1.90
B232-grn,1.90
B232-red,1.90
B232-yel,1.90
B233,3.28
B240-blu,1.35
B240-grn,1.35
B240-red,1.35
B240-yel,1.35
B241-blu,1.95
B241-gld,1.95
B241-grn,1.95
B241-red,1.95
B242-blu,0.48
B243,9.00
B244-blu,1.28
B244-gld,1.28
B244-grn,1.28
B244-red,1.28
B245-blu,1.22
B245-gld,1.22
B245-grn,1.22
B245-red,1.22
B260,2.16
B261,2.82
B262,3.60
B263,
B264,1.56
B265,2.28
B266,2.58
B271,1.00
B272,0.85
B275,1.00
B280,
B281,0.61
B282,1.00
B300-blu,0.64
B300-grn,0.64
B300-red,0.64
B300-yel,0.64
B301-blu,1.10
B301-grn,1.10
B301-red,1.10
B301-yel,1.10
B302-blu,1.30
B302-grn,1.30
B302-red,1.30
B302-yel,1.30
BELDLGE-fle,22.97
BELDLGE-fpa,22.97
BELSLGE-pbl,17.87
BELSLGE-pbr,17.87
BELSLGE-ppu,17.87
BK01,9.07
BK02,7.26
BK03,6.89
BLING14,0.67
BLING55-b,0.36
BLING55-p,0.36
BRD04,1.20
BRD05,1.25
BRD06,1.10
BRD07,0.75
C001,1.35
C002,1.39
C010,23.79
C011,28.25
C012,28.72
C013,18.84
C014,20.82
C015,
C016,19.82
CC01,21.40
CC02,33.90
CC09-blu,17.00
CC09-pnk,17.00
CL212,1.05
CL312,1.32
CL412,1.41
CM001,7.80
CM002,6.67
CM005,7.33
CM006,0.27
CM007,0.13
CT008,0.77
CT011,3.17
CT013,4.51
CT015,4.17
CT019,0.91
CT026,16.20
CT028-blk,7.10
CT028-blu,7.10
CT028-red,7.10
CT036,1.70
CT037,3.33
CT038,7.75
CT039,5.68
CT040,4.47
CT041,2.95
CT042,4.36
CT043,1.05
CT044,3.15
CT046,2.03
CT047,1.01
CT048,0.85
CT049,1.04
CT050,1.40
CT051,1.30
CT052,0.39
CT053,4.47
CT054,0.00
CVR02,3.97
CVR03,5.23
DB002zzzzz,46.27
DB003-LGE-brn,8.67
DB003-LGE-grn,8.67
DB003-MED-brn,7.07
DB003-MED-grn,7.07
DB003-SET-brn,32.80
DB003-SET-grn,32.80
DB003-SML-brn,5.73
DB003-SML-grn,5.73
DB003-XLG-brn,11.33
DB003-XLG-grn,11.33
DB005-LGE-blu,12.00
DB005-LGE-pnk,12.00
DB005-MED-blu,8.00
DB005-MED-pnk,8.00
DB005-SET-blu,25.40
DB005-SET-pnk,25.40
DB005-SML-blu,6.00
DB005-SML-pnk,6.00
DB006,5.00
DB007,7.50
DB008-LGE,12.00
DB008-MED,10.00
DB008-SET,42.83
DB008-SML,7.33
DB008-XLG,13.49
DB009-LGE-blu,25.00
DB009-LGE-wte,25.00
DB009-MED-blu,23.00
DB009-MED-wte,23.00
DB009-XLG-blu,31.00
DB009-XLG-wte,31.00
DBDLGE,36.92
DBDMED,31.36
DBDRSLGE,11.40
DBDRSMED,10.50
DBDRSSML,8.30
DBDSML,28.00
DBSJUM,26.90
DBSLGE,23.50
DBSRSJUM,11.40
DBSRSLGE,10.50
DBSRSMED,8.30
DBSRSMIN,7.40
DBSRSSML,8.95
DBSSML,28.00
DC002,6.56
DC003,10.21
DC004,6.87
DC005,12.28
DC006,17.25
DC007,0.00
DC008,9.32
DC009,0.00
DC010,11.39
DC012,7.25
DC013,15.53
DC015,10.00
DC018,40.00
DC019,24.50
DC021,14.00
DC022,11.75
DC023,31.00
DC024,9.50
DC025,10.50
DC030,0.00
DC033,0.82
DC034,1.20
DC035,14.16
DC038,20.60
DC039,23.50
DC044,22.66
DC048,0.00
DC049,16.65
DC055,11.20
DC056,10.80
DC057,4.00
DC058,8.00
DC059,10.00
DC060,6.93
DC061,4.60
DC062,7.67
DC063,10.00
DC064,27.00
DC065,4.67
DC066,3.33
DC068,33.00
DC069,0.93
DC070,4.07
DC071,6.93
DC073,1.40
DC074,3.94
DC075,19.54
DC076,1.40
DC077,3.94
DC078,19.54
DC079,18.02
DC081,1.40
DC082,3.94
DC083,19.54
DCDC01,3.39
DCDC05,16.19
DCDC25,1.23
DCH25-blu,3.47
DCH25-pnk,3.47
DCH25-red,3.47
DCH30-blu,3.47
DCH30-pnk,3.47
DCH30-red,3.47
DCH35-blu,3.47
DCH35-pnk,3.47
DCH35-red,3.47
DCH40-blu,3.47
DCH40-pnk,3.47
DCH40-red,3.47
DCH45-blu,3.47
DCH45-pnk,3.47
DCH45-red,3.47
DCN25-blk,2.12
DCN25-blu,2.12
DCN25-red,2.12
DCN30-blk,2.45
DCN30-blu,2.45
