Item Number	Item Name	Buy	Sell	Inventory	Asset Acct	Income Acct	Expense/COS Acct	Item Picture	Description	Use Desc. On Sale	Custom List 1	Custom List 2	Custom List 3	Custom Field 1	Custom Field 2	Custom Field 3	Primary Supplier	Supplier Item Number	Tax Code When Bought	Buy Unit Measure	# Items/Buy Unit	Reorder Quantity	Minimum Level	Selling Price	Sell Unit Measure	Tax Code When Sold	Sell Price Inclusive	Sales Tax Calc. Method	# Items/Sell Unit	Inactive Item
-060FLOOR	PLY FLOOR SUIT K9060	B		I	13000												FERNTREE GULLY BOX SHOP		GST	EA	1	0	0					0		N
-200FLOOR	PLY FLOOR SUIT K9200	B		I	13000												FERNTREE GULLY BOX SHOP		GST	EA	1	0	0					0		Y
-300CLAD	VINYL CLADDING @ 765MMLONG	B		I	13000												MITTEN		GST	EA	1	0	0					0		N
-300CTFRT	K9300 CENTRE FRONT PANEL	B		I	13000												LASER IMAGING	LP14138	GST	EA	1	0	0					0		N
-300FLOOR	K9300 FLOOR PANEL	B		I	13000												LASER IMAGING	LP14136	GST	EA	1	0	0					0		N
-300INSUL	THERMALWALL 3.6X1.2X0.01M	B		I	13000												INSULHOLMES & BUILDING SERVICES		GST	EA	1	0	0					0		N
-300OFFRT	K9300 OFFSET FRONT PANEL	B		I	13000												LASER IMAGING	LP14137	GST	EA	1	0	0					0		N
-300REAR	K9300 REAR PANEL	B		I	13000												LASER IMAGING	LP14139	GST	EA	1	0	0					0		N
-300SIDE	K9300 SIDE PANEL	B		I	13000												LASER IMAGING	LP14140	GST	EA	1	0	0					0		N
-600CLAD	VINLY CLADDING @ 860MM LONG	B		I	13000												MITTEN	D5 TALL (290MM HIGH)	GST	EA	1	0	0					0		N
-600FLOOR	1.6MM FLOOR PANEL SUIT K9600	B		I	13000												LASER IMAGING	LPO6490	GST	EA	1	0	0					0		N
-600INSUL	THERMALWALL 3.6X1.2X0.01M	B		I	13000												INSULHOLMES & BUILDING SERVICES		GST	EA	1	0	0					0		N
-600OFFRT	1.6MM OFFSET FRONT SUIT K9600	B		I	13000												LASER IMAGING	LPO6487	GST	EA	1	0	0					0		N
-600REAR	1.6MM REAR PANEL SUIT K9600	B		I	13000												LASER IMAGING	LPO6488	GST	EA	1	0	0					0		N
-600SIDE	0.75MM SIDE PANEL SUIT K9600	B		I	13000												LASER IMAGING	LPO6489	GST	EA	1	0	0					0		N
-900CLAD	VINLY CLADDING @1060MM LONG	B		I	13000												MITTEN	D4 SHORT (260MM HIGH)	GST	EA	1	0	0					0		N
-900FLOOR	1.6MM FLOOR PANEL SUIT K9900	B		I	13000												LASER IMAGING	LPO1721	GST	EA	1	0	0					0		N
-900INSUL	THERMALWALL 2.4X1.2X0.01M	B		I	13000												INSULHOLMES & BUILDING SERVICES		GST	EA	1	0	0					0		N
-900OFFRT	1.6MM OFFSET FRONT SUIT K9900	B		I	13000												LASER IMAGING	LPO2033	GST	EA	1	0	0					0		N
-900REAR	1.6MM REAR PANEL SUIT K9900	B		I	13000												LASER IMAGING	LPO1722	GST	EA	1	0	0					0		N
-900SIDE	0.75MM SIDE PANEL SUIT K9900	B		I	13000												LASER IMAGING	LPO1723	GST	EA	1	0	0					0		N
-BAG01	FUN FLYER PLASTIC BAG	B		I	51000														GST	EA	1	0	0					0		N
-BAG05	LAYFLAT POLY TUBE 125MMX100UM	B		I	51000												STUTZ INDUSTRIES	L1	GST	EA	1	100	542					0		N
-BAG06	Reseal plastic bag 23x33cm	B	S	I	51000	41000	51000												GST	bag	1	100	542	$100.00	bag	GST		0	1	N
-BAG07	Reseal plastic bag 30x40cm	B	S	I	51000	41000	51000												GST	bag	1	100	542	$100.00	bag	GST		0	1	N
-BR01	ANGLE BRACE 4.8MT	B		I	13000												K-9 HOMES		GST	EA	1	0	0					0		N
-BR02	Z BRACKET SUIT TRAD KENNELS	B		I	51000												LASER IMAGING	LPO9250	GST	EA	1	300	50					0		N
-BR04	25MM PIPE END PLUGS	B		I	13000												HGC INDUSTRIES PTY LTD	PLUGS	GST	EA	1	200	0					0		N
-BUCKLE01	15MM M/F WEB BUCKLE BLACK	B		I	13000												YKK AUSTRALIA	LB15R POM ring	GST	EA	1	0	50					0		N
-BUCKLE02	1" NP sq snap (NPD5025)	B		I	13000												LEFFLER & SON		GST	EA	1	0	50					0		N
-BUCKLE03	1 1/4" NP mart ring	B		I	13000												LEFFLER & SON		GST	EA	1	0	50					0		N
-BUCKLE04	25MM M/F WEB BUCKLE BLACK	B		I	13000												YKK AUSTRALIA	LB25R Pom buckle	GST	ea	1	0	0					0		N
-BUCKLE05	25MM TRIGLIDE	B		I	13000												YKK AUSTRALIA	LA25S Pom adjuster	GST	ea	1	0	0					0		N
-BUCKLE06	25MM D RING PLASTIC BLACK	B		I	13000												YKK AUSTRALIA	LD25E POM ring	GST	ea	1	0	0					0		N
-BUCKLE07	15mm NP Round ring	B		I	13000												LEFFLER & SON		GST	EA	1	0	50					0		N
-BUCKLE08	20mm D-ring plastic black	B		I	13000												YKK AUSTRALIA	LD20E Pom ring	GST	ea	1	0	0					0		N
-BUCKLE09	20mm m/f buckle black	B		I	13000												YKK AUSTRALIA	232984	GST	ea	1	0	0					0		N
-BUCKLE11	15mm D-ring plastic black	B		I	13000												YKK AUSTRALIA	LD15E POM RING	GST	EA	1	0	50					0		N
-BUCKLE12	15mm Tri-glide	B		I	13000												YKK AUSTRALIA	LA15T POM ADJUSTER	GST	EA	1	0	50					0		N
-BUCKLE13	20mmx75long NP sq snap	B		I	13000												LEFFLER & SON		GST	EA	1	0	50					0		N
-BUCKLE14	10mm golf bag clip	B		I	13000												LEFFLER & SON		GST	EA	1	0	50					0		N
-BUCKLE15	20mm NP ring	B		I	13000												LEFFLER & SON		GST	EA	1	0	50					0		N
-BUCKLE16	15mm NP Sq snap	B		I	13000												LEFFLER & SON		GST	EA	1	0	50					0		N
-BUCKLE17	10mm nickel buckles	B		I	13000												EH & ER BRABHAM	Z1095/10 Nickel	GST	ea	1	0	50					0		N
-BUCKLE18	14mm flower buckle blue	B	S	I	13000	41000	51000										EH & ER BRABHAM	CB240, nickel/blue	GST	ea	1	0	50	$2.00	ea	GST		0	1	N
-BUCKLE19	14mm flower buckle/Lavender	B	S	I	13000	41000	51000										EH & ER BRABHAM	CB240, Nickel/Lavender	GST	ea	1	0	50	$2.00	ea	GST		0	1	N
-BUCKLE20	10mm m/f web buckle black	B	S	I	13000	41000	51000										YKK AUSTRALIA		GST	ea	1	0	50	$100.00	ea	GST		0	1	N
-BUCKLE21	10mm triglide	B	S	I	13000	41000	51000										YKK AUSTRALIA		GST	ea	1	0	50	$100.00	ea	GST		0	1	N
-BUCKLE22	10mm D-ring nickle	B	S	I	13000	41000	51000												GST	ea	1	0	50	$100.00	ea	GST		0	1	N
-BUCKLE23	20mm Tri-glide	B	S	I	13000	41000	51000										YKK AUSTRALIA		GST	ea	1	0	50	$100.00	ea	GST		0	1	N
-BUCKLE24	10mm Snap clips	B	S	I	13000	41000	51000												GST	ea	1	0	50	$100.00	ea	GST		0	1	N
-CLAD	Cladding for kennels 6mt	B		I	13000												MITTEN	A-Mitten D4.5	GST	ea	1	0	0					0		N
-CONT01	400ML SQUARE PET JAR	B		I	13000												PB PACKAGING	cospak	GST	EA	1	0	0					0		N
-CONT02	50ML BOTTLE NAT 28MM NECK	B	S	I	13000	41000	51000										PB PACKAGING		GST	EA	1	0	0	$0.00	EA	GST		0	1	N
-CONT03	125ML BOTTLE NAT 28MM NECK	B	S	I	13000	41000	51000										PB PACKAGING		GST	EA	1	0	0	$0.00	EA	GST		0	1	N
-DBGALJUM	GAL JUMBO DOG BED FRAME	B	S	I	13000	41000	51000										PET PILLOW		GST	EA	1	0	0	$21.25	EA	GST		0	1	N
-DBGALLGE	GAL LARGE DOG BED FRAME	B	S	I	13000	41000	51000										PET PILLOW		GST	EA	1	0	0	$18.50	EA	GST		0	1	N
-DBGALSML	GAL SMALL DOG BED FRAME	B	S	I	13000	41000	51000										PET PILLOW		GST	EA	1	0	0	$15.90	EA	GST		0	1	N
-DBLAB01	CUT & PUNCH TRAMP BED LABOR	B		I	13000												JBE		GST		1	0	0					0		N
-DBLAB02	BENDING OF LEGS FOR DOG BEDS	B		I	13000												JBE		GST		1	0	0					0		N
