Product Code, Lyppard Best Friends ,Lyppard Victoria ,Boronia Vet,Lyppard NSW,Lyppard South Australia,Best Friends Geelong,Best Friends Thomastown,Best Friends Point Cook,Best Friends Maribyrnong,Best Friends Melton,Best Friends South Morang,Best Friends Cranbourne,Best Friends Northland,Best Friends Mornington,Best Friends Pakenham,Best Friends Virginia,Best Friends Helensvale,Best Friends Kawana,Best Friends Tweed Heads,Best Friends Underwood,Best Friends Macgregor,Best Friends West Ipswich,Best Friends Browns Plains,Best Friends Morayfield,Best Friends Tuggeranong,Best Friends Fyshwick,Best Friends Erina,Best Friends Shellharbour,Best Friends Auburn,
,,1361,1435,1364,1363,3224,3225,3226,3227,3228,3229,3230,3231,3232,3233,3234,3235,3236,3237,3238,3239,3240,3241,3242,3243,3244,3245,3246,3247,
XMYF001,1.37,,,,,41,23,27,23,23,23,27,32,14,14,23,27,23,14,14,14,14,9,9,23,18,9,9,5,
XMYF002,1.38,,,,,41,23,27,23,23,23,27,32,14,14,23,27,23,14,14,14,14,9,9,23,18,9,9,5,
XMYF003,1.93,96,,,48,,,,,,,,,,,,,,,,,,,,,,,,,
XMWM120,4.87,72,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMYF005,11.41,,,,,26,15,18,15,15,15,18,21,9,9,15,18,15,9,9,9,9,6,6,15,12,6,6,4,
XMYF004,5.25,48,,,,26,15,18,15,15,15,18,21,9,9,15,18,15,9,9,9,9,6,6,15,12,6,6,4,
XMKTSP009,5.25,72,,72,,,,,,,,,,,,,,,,,,,,,,,,,,
XMKTSP002,4.52,96,,96,,,,,,,,,,,,,,,,,,,,,,,,,,
XMKTSP001,4.52,96,5,96,,,,,,,,,,,,,,,,,,,,,,,,,,
XMKTSP003,4.87,96,5,48,,,,,,,,,,,,,,,,,,,,,,,,,,
XMKTSP004,4.87,72,,48,,,,,,,,,,,,,,,,,,,,,,,,,,
XMKTSP007,4.17,48,,96,,,,,,,,,,,,,,,,,,,,,,,,,,
XMKTSP008,4.17,48,,96,,,,,,,,,,,,,,,,,,,,,,,,,,
XMKTSP005,4.17,96,,72,36,,,,,,,,,,,,,,,,,,,,,,,,,
XMKTSP006,4.17,96,,72,36,,,,,,,,,,,,,,,,,,,,,,,,,
XMKTSP010,1.72,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMKTSP011,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMWM121,3.82,288,70,120,180,81,45,54,45,45,45,54,63,27,27,45,54,45,27,27,27,27,18,18,45,36,18,18,9,
XMYF006,11.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMWM122,3.15,,,,,41,23,27,23,23,23,27,32,14,14,23,27,23,14,14,14,14,9,9,23,18,9,9,5,
XMK9303,27.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMK9304,24.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMK9305,0.88,120,20,,,211,117,141,117,117,117,141,164,70,70,117,141,117,70,70,70,70,47,47,117,94,47,47,23,
XMK9306,1.23,120,10,,,221,123,147,123,123,123,147,172,74,74,123,147,123,74,74,74,74,49,49,123,98,49,49,25,
XMK9301,1.65,,,,,41,23,27,23,23,23,27,32,14,14,23,27,23,14,14,14,14,9,9,23,18,9,9,5,
XMK9302,2.42,,5,,,40,22,27,22,22,22,27,31,13,13,22,27,22,13,13,13,13,9,9,22,18,9,9,4,
XMWM102,1.65,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMWM104,1.65,,,,,41,23,27,23,23,23,27,32,14,14,23,27,23,14,14,14,14,9,9,23,18,9,9,5,
CT120,9.77,60,,40,26,,,,,,,,,,,,,,,,,,,,,,,,,
XMHK121,1.09,,,,,27,15,18,15,15,15,18,21,9,9,15,18,15,9,9,9,9,6,6,15,12,6,6,3,
XMHK118,1.72,96,,96,96,23,13,15,13,13,13,15,18,8,8,13,15,13,8,8,8,8,5,5,13,10,5,5,3,
XMHK119,1.72,96,10,96,96,23,13,15,13,13,13,15,18,8,8,13,15,13,8,8,8,8,5,5,13,10,5,5,3,
XMHK120,1.16,96,,,,23,13,15,13,13,13,15,18,8,8,13,15,13,8,8,8,8,5,5,13,10,5,5,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
