Product Code,,RSPCA Burwood,Pets Place Epping,All 4 Pets Ivanhoe,All 4 Pets Moorabbin,Planet Pets Balwyn,Animal Doctors,Gotta Luv Pets,Lost Dogs Adoptions,The Pethouse,Pet Town Chatswood,Croydon Vet,Paw Prints,City Pets,Discount Animal Supplies,Paws & Whiskers,Greencross Woof Purnay,Malvern Vet,DR Leo Cantwell,Cooinda,Passion 4 Pets Carrum,My Dachshund Online,Dogs Country Club,The Pines Pet Shop,Pets on Elwood,Pets at Doncaster,Pets at Chadstone,Coastal Grooming,Hoppers Crossing Vet,Stop n Paws Dog Grooming,Mega Pet Pam,Companion Pets Carindale,Jog The Dog
,,1827,3098,1378,1379,2917,2599,3114,3023,2779,2679,1481,3084,1470,2096,2613,1684,1641,3092,1476,1711,3127,1504,2649,2722,2783,2784,2976,1592,2562,1651,2636,2589
XMYF001,0,,,,,,,,,,,,10,12,20,20,,,,,6,,120,,,,,,,5,,15,
XMYF002,0,,,,,,,,,,,,,12,,20,,,,,6,,,,,,,,,5,,12,
XMYF003,0,,,6,6,,2,48,,16,,,,24,,10,48,,,,6,48,96,,,,,,48,10,,15,
XMWM120,0,36,,,,6,,,,40,36,,10,12,36,,36,,10,,36,,,10,,36,36,,,,36,,
XMYF005,0,,,,,12,,,,,12,,,,24,,,,,,,,,2,,12,12,,,,12,,
XMYF004,0,,,12,12,,,12,,,,,,12,,,24,,12,,24,,,4,,12,12,,,,,,
XMKTSP009,0,,,3,3,6,1,,,,,,,6,12,,6,,5,,,,,4,8,,,,,5,24,10,
XMKTSP002,0,48,,3,3,,1,,,,,,,,,6,6,,5,,4,,,,,,,,,5,,8,
XMKTSP001,0,48,,3,3,,,12,,,,10,,,,,6,,5,,4,,,,,,,,,5,24,12,
XMKTSP003,0,,,,,,,,,,,,,,,,6,,5,,,,,,6,,,,,,,10,
XMKTSP004,0,,,,,,,,,,,,,,,,6,,5,,,,,,6,,,,,,,10,
XMKTSP007,0,48,,,,,1,,,,,,,,,6,6,,5,,,,,6,,,,,,,,12,
XMKTSP008,0,48,,,,,,,,,,,,,,6,6,,5,,,,48,6,,,,,,,,12,
XMKTSP005,0,,,,,,1,12,,,,,,,,8,6,,5,,4,,,,,,,,,3,,10,
XMKTSP006,0,,,,,,,,,,,,,,12,,6,,5,,4,,,,,,,,,3,,10,
XMKTSP010,0,96,,,,14,,,96,,,3,10,6,,10,6,,5,,6,,96,4,10,,,96,,5,,10,
XMKTSP011,0,48,,,,14,2,12,,,,3,10,6,,10,6,,5,,6,,,4, ,,,48,,3,,10,
XMWM121,0,60,60,,,,12,12,,,24,24,24,12,,12,24,12,12,,,12,,6,24,24,24,,,12,24,,
XMYF006,0,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,36,,,,96
XMWM122,0,,,,,,,,,44,,,,,36,,,,,,,,,,,,,,,,36,,
XMK9303,0,,,1,1,,,,,,,,,1,,1,,,1,,,1,,2,1,,,,,,,,
XMK9304,0,,,1,1,,,,,,2,,,1,,,,,,,,,,1,,1,1,,,,,,
XMK9305,0,120,,6,6,40,,,,,240,,,,,15,24,,,,,,,50,,,,,,,,120,
XMK9306,0,120,,6,6,40,,12,,144,240,,,,20,15,24,,,,,,,30,,,,,,,,120,
XMK9301,0,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,
XMK9302,0,,,,,,,,,14,,,,20,,,,,,,,,,,,72,72,,,,,10,
XMWM102,0,,,,,,,,,,,10,,30,,,,,,,,,,,,,,,,,,,
XMWM104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT120,0,,,,,1,,6,,,20,,,,,4,20,,,20,,,20,,,,,,,,20,,
XMHK121,0,,,,,,,,96,,,,,20,20,8,12,,,,,,,4,,96,96,,,10,,20,
XMHK118,0,,,,2,24,,,,,96,,,6,15,6,,,10,,,,,4,,,96,,,5,,20,
XMHK119,0,,,,2,24,,,,,,12,5,6,,6,12,,10,96,,,,4,,96,,,,5,,20,
XMHK120,0,,,,,24,,,96,,,,5,6,15,6,12,,20,,,,,4,,,,,,5,,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
