product_code,description,price,typeid,catid
DCDC25,,258,23,4
DCDC05,,3000,23,4
DCDC01,,700,23,4
DC036,"Smoked pork rolls 6"" 38pc",3800,24,4
DC020,Pork rolls 20pc,2000,24,4
DC045,Baisted pringles 1kg,2325,21,4
B200,"7"" aluminium dog bowl",495,1,5
B199,"6"" aluminium dog bowl",375,1,5
DC024,Rawhide plain puppy chips 1kg,2000,22,4
DC025,Rawhide baisted puppy chip 1kg,2200,158,4
DC040,Lamb neck,200,162,4
DC039,Bull sticks 25pc,3375,27,4
DC016,"""8"""" porkhide retrievers 10pc""",3360,125,4
DC014,"""3"""" porkhide drumsticks 45pc""",2485,29,4
DC015,"""4"""" porkhide knot bone 25pc""",2240,30,4
DC017,Porkhide sausage rolls 85pc,2295,31,4
DC001,R/h twist stick 10mm jar 20pc,495,130,4
DC042,Turkey jerky 1kg,1975,33,4
DC046,,420,33,4
DCYB01,,1000,34,4
DCYB05,,4200,34,4
DCYB25,,295,34,4
PDL01,Dried liver 1kg,2500,35,4
PDL15,,455,35,4
DC023,Smoked cows ears 50pc,5250,36,4
DC018,Smoked pigs ear 50pc,5500,37,4
DC012,"""5"""" white retriever stick 40pc""",2495,150,4
DC013,"""10"""" white retriever stick 20pc""",4160,150,4
DC035,Roo sausages 25pc,2395,40,4
DC038,Premium grade beef jerky 1kg,3000,161,4
DC022,Smoked pigs trotter split 20pc,1890,157,4
DC049,Beef rattles 1kg,2664,43,4
DC021,Smoked pigs snouts 50pc,2500,123,4
DC041,Made in Australia x,1500,44,4
DC037,Beef crackers 12pc,324,45,4
DC019,Clod/femur bones small 40pc,4680,82,4
DC044,Clod/femur bones large 8pc,2880,82,4
DC034,Roo tails,189,47,4
B260,S/S pet bowl embossed small,595,137,5
B261,S/S pet bowl embossed medium,775,137,5
LC754-blk,Suede cat collar black,215,138,6
B262,S/S pet bowl embossed large,990,137,5
K9JSML-pur,Purple knitted dog jumper smal,2500,18,10
K9C20C-blu,,534,14,8
K9C25C-blu,,640,14,8
K9C30C-blu,,939,14,8
K9C35C-blu,,1265,14,8
K9C40C-blu,,1384,14,8
K9C45C-blu,,1465,14,8
K9C50C-blu,,1795,14,8
K9C55C-blu,,2173,14,8
K9C60C-blu,,2467,14,8
K9C65C-blu,,2715,14,8
K9C70C-blu,,2953,14,8
K9C20C-red,,534,14,8
K9C25C-red,,640,14,8
K9C30C-red,,939,14,8
K9C35C-red,,1265,14,8
K9C40C-red,,1384,14,8
K9C45C-red,,1465,14,8
K9C40C-red,,1384,14,8
K9C50C-red,,1795,14,8
K9C55C-red,,2173,14,8
K9C60C-red,,2467,14,8
K9C65C-red,,2715,14,8
K9C70C-red,,2953,14,8
K9CSML-blu,Polar fleece coat blue sml,900,17,8
K9CMED-blu,Polar fleece coat blue med,1175,17,8
