product_code	description	price	current_product_code	typeid	catid	
060B	Fineline # 3440744	6300	060B	106	1	1
060D	Dog kennel deluxe 60lt	7910	060D	106	1	1
060S	Dog kennel standard 60lt	7400	060S	106	1	1
200B	Fineline # 3440778	7500		107	1	0
200D	Dog kennel deluxe 200lt	9636	200D	107	1	1
200S	Dog kennel standard 200lt	8181	200S	107	1	1
300D	Dog kennel deluxe 300lt	18000	300D	107	1	1
600D	Dog kennel deluxe 600lt	25000	600D	107	1	1
900D	Dog kennel deluxe 900lt	28000	900D	107	1	1
B199	"6"" aluminium dog bowl"	375	B199	1	5	1
B200	"7"" aluminium dog bowl"	495	B200	1	5	1
B201	"8"" aluminium dog bowl"	600	B201	1	5	1
B202	"9"" aluminium dog bowl"	713	B202	1	5	1
B203	"10"" aluminium dog bowl"	825	B203	1	5	1
B204	"11"" aluminium dog bowl"	975	B204	1	5	1
B209-blu	Double plastic diner blue	83	B209-blu	92	5	1
B209-grn	Double plastic diner green	83	B209-grn	92	5	1
B209-red	Double plastic diner red	83	B209-red	92	5	1
B209-yel	Double plastic diner yellow	83	B209-yel	92	5	1
B210-blu	Small plastic dog bowl blue	75	B210-blu	2	5	1
B210-grn	Small plastic dog bowl green	75	B210-grn	2	5	1
B210-red	Small plastic dog bowl red	75	B210-red	2	5	1
B210-yel	Small plastic dog bowl yellow	75	B210-yel	2	5	1
B213-blu	Large plastic dog bowl blue	195	B213-blu	2	5	1
B213-grn	Large plastic dog bowl green	195	B213-grn	2	5	1
B213-red	Large plastic dog bowl red	195	B213-red	2	5	1
B213-yel	Large plastic dog bowl yellow	195	B213-yel	2	5	1
B220-blu	Medium plastic dog bowl blue	143	B220-blu	2	5	1
B220-grn	Medium plastic dog bowl green	143	B220-grn	2	5	1
B220-red	Medium plastic dog bowl red	143	B220-red	2	5	1
B220-yel	Medium plastic dog bowl yellow	143	B220-yel	2	5	1
B221-blu	Cat shaped plastic bowl blue	296	B221-blu	79	5	1
B221-red	Cat shaped plastic bowl red	296	B221-red	79	5	1
B221-yel	Cat shaped plastic bowl yellow	296	B221-yel	79	5	1
B227	Heavy duty small square bowl	255	B227	102	5	1
B230	Heavy duty small cat bowl	165	B230	102	5	1
B231	Heavy duty double diner	248	B231	102	5	1
B232-blu	H/duty litter tray lge blue	330	B232-blu	57	14	1
B232-grn	H/duty litter tray lge green	330	B232-grn	57	14	1
B232-red	H/duty litter tray lge red	330	B232-red	57	14	1
B232-yel	H/duty litter tray lge yellow	330	B232-yel	57	14	1
B233	Heavy duty large square bowl	495	B233	102	5	1
B237	Water/food fold up dog bowl	350	B237	98	5	1
B240-blu	H/duty litter tray sml blue	290	B240-blu	57	14	1
B240-grn	H/duty litter tray sml green	290	B240-grn	57	14	1
B240-red	H/duty litter tray sml red	290	B240-red	57	14	1
B240-yel	H/duty litter tray sml yellow	290	B240-yel	57	14	1
B241-blu	Spill proof water bowl blue	350	B241-blu	134	5	1
B241-gld	Spill proof water bowl gold	350	B241-gld	134	5	1
B241-grn	Spill proof water bowl green	350	B241-grn	134	5	1
B241-red	Spill proof water bowl red	350	B241-red	134	5	1
B242-blu	Cat litter scoop blue	120	B242-blu	112	14	1
B243	H/D pooper scooper pan & scoop	1386	B243	112	14	1
B244-blu	Ant free double diner blue	216	B244-blu	53	5	1
B244-gld	Ant free double diner gold	216	B244-gld	53	5	1
B244-grn	Ant free double diner green	216	B244-grn	53	5	1
B244-red	Ant free double diner red	216	B244-red	53	5	1
B245-blu	Ant free small bowl blue	214	B245-blu	53	5	1
B245-gld	Ant free small bowl gold	214	B245-gld	53	5	1
B245-grn	Ant free small bowl green	214	B245-grn	53	5	1
B245-red	Ant free small bowl red	214	B245-red	53	5	1
B260	S/S pet bowl embossed small	595	B260	137	5	1
B261	S/S pet bowl embossed medium	775	B261	137	5	1
B262	S/S pet bowl embossed large	990	B262	137	5	1
B271	Water bowl suit sml carry cage	350	B271	70	5	1
B272	Cage bowls	248	B272	70	5	1
B273-blu	Melamine bowl w/r rim blue	250	B273-blu	153	5	1
B273-mti	Melamine bowl w/r rim multi	250	B273-mti	153	5	1
B273-red	Melamine bowl w/r rim red	250	B273-red	153	5	1
B275	Water bowl suit lge carry cage	450	B275	70	5	1
B280	Hooded litter tray	3485		57	14	0
BACNE1	PET BASKET DELUXE PLUSH SET 6	8120		178	19	0
BELBLGE-xxx	Budget bell igloo large	2600	BELBLGE-xxx	69	18	1
BELDLGE-fle	Deluxe bell igloo lge leopard	4200	BELDLGE-xxx	86	18	0
BELDLGE-fpa	Deluxe bell igloo lge panther	4200		86	18	0
BELSLGE-pbl	Standard bell igloo lge p/blue	3254	BELSLGE-xxx	136	18	0
BELSLGE-ppu	Standard bell igloo lge p/purp	3254		136	18	0
BK01	Holidaying with dogs book	1060	BK01	64	17	1
BK02	Walkies in Victoria book	1060	BK02	64	17	1
BK03	Holidaying with cats book	1006	BK03	64	17	1
BLAN01-blu	Fleece blanket 150x120cm blue	600	BLAN01-blu	58	24	1
BLAN01-pur	Fleece blanket 150x120cm purpl	600	BLAN01-pur	58	24	1
BLAN01-red	Fleece blanket 150x120cm red	600	BLAN01-red	58	24	1
BLAN01-yel	Fleece blanket 150x120cm yello	600	BLAN01-yel	58	24	1
BRD01	Craft perch w-10cm extension	205	BRD01	155	3	1
BRD02	Craft style hanging bird toy	215	BRD02	155	3	1
BRD03	Twist rope bird perch	250	BRD03	155	3	1
BRD04	Bird swing perch with bell	185		155	3	0
C001	50ml plastic bottle with cap	110		65	15	0
C002	125ml plastic bottle with cap	115		65	15	0
C010	4 Dram vial with s/cap 200pc	3175	C010	65	15	1
C011	6 Dram vial with s/cap 200pc	3965	C011	65	15	1
