id	description	size	price	product_code	typeid	qty_break	qty_discount	qty_instock	qty_ordered	special	clearance	can_backorder	status	cost	last_costed_date	display_order	barcode	color_name	color_background_color	color_background_image	shipping_weight	shipping_volume	shipping_container	notify_when_instock	source	new_product	core_product
3900	Plush Duck Toy Pack	24 piece	5803	AP1301	634	0	0	0	0	0	0		active	4308	4/05/2013	100									B	0	0
3901	Plush Animal Design Pack	24 piece	5160	AP1302	635	0	0	0	0	0	0		active	3540	4/05/2013	90									B	0	0
3902	Low Pants Toy Pack	24 piece	7128	AP1303	636	0	0	0	0	0	0		active	2460	4/05/2013	80									B	0	0
3903	Long Hair Plush Dogs	24 piece	7920	AP1304	637	0	0	0	0	0	0		active	5832	4/05/2013	70									B	0	0
1519	Aluminium Dog Bowl	"6\"" 275ml"	500	B199	1	6	10	26	0	0	0	n	active	250	24/10/2012	30	932222900186		FFFFFF		0	0		y	F	0	0
1520	Aluminium Dog Bowl	"7\"" 500ml"	600	B200	1	6	10	20	0	0	0	n	active	300	24/10/2012	25	932222900200		FFFFFF		0	0		y	F	0	0
1521	Aluminium Dog Bowl	"8\"" 1.0lt"	800	B201	1	6	10	9	0	0	0	n	active	400	24/10/2012	20	932222900201		FFFFFF		0	0		y	F	0	0
1522	Aluminium Dog Bowl	"9\"" 1.5lt"	950	B202	1	6	10	17	0	0	0	n	active	475	24/10/2012	15	932222900202		FFFFFF		0	0		y	F	0	0
1523	Aluminium Dog Bowl	"10\"" 2.0lt"	1100	B203	1	6	10	12	0	0	0	n	active	550	11/11/2008	10	932222900203		FFFFFF		0	0		y	F	0	0
1524	Aluminium Dog Bowl	"11\"" 3.0lt"	1300	B204	1	6	10	8	0	0	0	n	active	650	24/10/2012	5	932222900204		FFFFFF		0	0		y	F	0	0
1690	Cat Litter Scoop Blue		130	B242-blu	112	12	15	940	0	0	0	y	active	48	25/02/2010	0	932222900384	Blue	1E90FF		0	0			F	0	0
1691	"Heavy Duty Pooper Scooper
Pan and Scoop"		1560	B243	187	0	0	58	0	0	0	y	active	1000	7/11/2011	0	932222900317		FFFFFF		0	0			F	0	0
1550	Water Bowl Suit Carry Cage	Small	350	B271	70	20	30	45	0	0	0	y	active	50	25/02/2010	80	NA49		FFFFFF		0	0			F	0	0
1552	Water Bowl Suit Carry Cage	Large	450	B275	70	20	30	110	0	0	0	y	active	50	25/02/2010	70	NA51		FFFFFF		0	0			F	0	0
2603	Deluxe Foldable Travel Bowl	19cm	278	B281	278	12	10	928	0	0	0	n	active	93	7/06/2012	0	932222900341	Blue or Red	FFFFFF		0	0			F	0	0
2970	Water Funnel Suit Carry Cage		350	B282	70	20	30	9	0	0	0	y	active	50	25/02/2010	60	NA50		FFFFFF		0	0			F	0	0
3117	Round Plastic Bowls	Small 750ml	195	B308-blu	472	40	10	62	0	0	0	n	active	76	12/11/2012	20	932222900924	Blue	1E90FF		0	0			F	0	0
3118	Round Plastic Bowls	Small 750ml	195	B308-pnk	472	40	10	72	0	0	0	n	active	76	12/11/2012	15	932222901162	Pink	FFC0CB		0	0			F	0	0
3119	Round Plastic Bowls	Small 750ml	195	B308-pur	472	40	10	76	0	0	0	n	active	76	12/11/2012	10	932222901163	Purple	800080		0	0			F	0	0
3120	Round Plastic Bowls	Small 750ml	195	B308-red	472	40	10	40	0	0	0	n	active	76	12/11/2012	5	932222901164	Red	FF0000		0	0			F	0	0
3173	Auto Feeder and Water Fountain 		750	B309	485	8	10	25	0	0	0	n	active	1300	15/10/2009	0	932222900969		FFFFFF		0	0			F	0	0
3176	Heavy Duty Double Diner	285ml per Side	225	B310-blu	457	80	20	781	0	0	0	n	active	75	16/03/2013	20	932222900965	Blue	1E90FF		0	0			F	0	0
3177	Heavy Duty Double Diner	285ml per Side	225	B310-pnk	457	80	20	318	0	0	0	n	active	75	16/03/2013	15	932222901452	Pink	FFC0CB		0	0			F	0	0
3178	Heavy Duty Double Diner	285ml per Side	225	B310-pur	457	80	20	12	0	0	0	n	active	75	16/03/2013	10	932222901453	Purple	800080		0	0			F	0	0
3179	Heavy Duty Double Diner	285ml per Side	225	B310-red	457	80	20	333	0	0	0	n	active	75	16/03/2013	5	932222901454	Red	FF0000		0	0			F	0	0
